date,AAI,CH4,CO,HCHO,NO2,O3,SO2
01/01/20,-0.816183900929846,,0.0490671037129192,0.0002106152255745,5.08536199350017e-05,0.160842402262662,
02/01/20,-1.29655918658053,,0.0465895906111585,0.0002329254555768,0.0001703911970701,0.161014133557451,
03/01/20,-1.76405445229592,,0.0414506494719846,0.0002013827727491,9.08249716439054e-05,0.142445750407638,
04/01/20,-1.53985451160573,,0.0425097175659211,0.0002028908522275,8.05612633475427e-05,0.134150428548977,
05/01/20,-0.91892962025723,,0.0433972836663161,0.000141125933462,6.68534172452338e-05,0.125270346568754,
06/01/20,-0.421546527172165,,0.0457985664335931,0.0001110987793482,4.77068730135411e-05,0.118393403798371,
07/01/20,-0.758808305576665,,0.0367785451051924,6.94335003686143e-05,3.7883238066223e-05,0.119937301383374,
08/01/20,-0.267496846423571,,0.0382820226993153,,,0.122020488565178,
09/01/20,-1.91745190396337,,0.0373409026509235,0.0001400402907354,7.00286434635155e-05,0.120721041292326,
10/01/20,-1.72779169467814,,0.0402617166076708,0.0001964990495496,8.60737507061938e-05,0.115495049350947,
11/01/20,-1.04132875359922,,0.0413491754616408,0.0001512496171667,7.26554117086813e-05,0.115175716642266,
12/01/20,-1.13242168662536,,0.0434262985036013,9.57318075010366e-05,6.31937955894846e-05,0.11924442067985,
13/01/20,-1.21124826852119,,0.0439912615810334,0.0001444066818558,2.81656790866242e-05,0.122416774703004,
14/01/20,-2.05255579697551,,0.0397673841418237,0.0001591076566206,6.06922909980108e-05,0.132537738808228,
15/01/20,-1.55665782705611,,0.0394044103246181,0.000117160685341,7.28110901617983e-05,0.131525270257627,
16/01/20,-0.866274609404943,,0.0340933293775346,,,0.137566580094138,
17/01/20,-0.451451167754147,,0.0394375901604226,8.46979872351389e-05,2.82534565049497e-05,0.137083795867087,
18/01/20,-1.35517620959886,,0.0418880964864415,0.000113709783094,0.0001045197454835,0.139730990405651,
